row_index,validation_fold
192,4
234,5
5,3
45,1
245,4
346,1
195,2
382,1
400,4
296,1
3,2
18,4
250,3
60,5
390,4
408,2
63,1
261,2
297,2
113,2
248,5
326,5
410,2
391,3
352,2
132,1
237,4
108,4
101,3
193,3
29,2
307,2
386,4
305,1
114,5
247,3
75,4
268,3
148,3
16,2
66,4
341,4
7,1
194,5
19,3
176,1
367,1
304,4
198,5
145,5
265,5
109,4
202,5
196,5
396,5
239,1
83,2
168,1
323,5
74,2
383,1
119,4
209,4
219,1
153,4
177,3
387,2
371,3
36,3
139,2
338,3
172,5
211,1
332,1
59,3
111,1
284,1
325,1
6,2
299,2
285,5
158,2
150,2
10,3
331,1
103,3
81,3
278,5
258,5
167,4
388,2
223,5
229,2
181,2
227,1
89,4
389,2
163,2
147,4
246,5
92,4
69,1
123,5
96,4
143,2
362,5
97,5
249,3
68,1
23,1
37,1
144,2
122,3
228,1
182,1
67,3
340,2
244,3
394,1
384,2
329,3
210,5
125,4
146,4
289,2
86,3
412,1
220,3
349,4
327,3
356,5
314,3
183,1
218,3
294,5
333,4
392,4
129,1
38,4
11,2
280,2
185,4
281,3
112,2
179,3
301,2
366,1
337,1
117,3
381,5
287,4
398,5
298,3
233,2
375,3
255,2
164,4
354,3
136,2
154,3
199,5
197,5
406,4
2,3
232,1
204,2
115,5
253,2
321,2
26,5
120,3
318,4
224,3
334,2
277,5
127,2
342,1
107,1
395,4
133,1
302,1
44,3
380,2
65,3
85,1
242,2
186,3
159,5
12,5
35,5
28,5
170,5
142,4
403,2
312,1
221,1
95,1
51,3
240,1
310,3
316,4
178,5
41,1
322,1
206,2
282,5
254,4
393,5
4,2
256,3
370,3
100,3
226,5
353,4
213,5
171,4
98,4
292,5
215,4
61,1
47,2
32,3
267,1
200,2
368,3
27,1
324,2
230,3
260,3
288,3
162,4
351,2
138,1
62,4
135,2
128,5
8,5
64,3
300,1
14,2
156,3
40,5
379,4
335,5
216,1
279,4
357,2
236,3
207,3
212,1
295,4
377,5
251,5
404,3
378,3
303,1
269,2
201,5
161,4
43,5
217,4
190,3
309,4
259,5
105,5
53,2
1,1
49,1
80,2
205,5
34,5
263,2
91,4
339,5
52,4
345,3
264,5
241,2
13,1
315,1
88,3
273,3
166,2
328,4
407,4
134,4
306,2
397,3
319,4
243,3
54,4
363,1
50,2
174,5
189,1
411,1
187,4
169,4
58,4
48,1
344,3
235,4
252,5
21,5
313,4
160,3
276,3
191,1
385,5
293,4
343,1
257,2
308,2
149,2
130,4
151,1
359,4
99,1
372,5
87,3
330,1
214,4
121,5
413,2
20,4
188,5
71,1
106,4
270,2
348,5
102,5
