pipeline,max_depth,min_samples_leaf,fold,train_rows,validation_rows,mae,mse,rmse,r2
without_pca,2,1,1,264,67,5.506910946636382,64.208753666191,8.013036482270063,0.6085714274747784
without_pca,2,5,1,264,67,5.506910946636382,64.208753666191,8.013036482270063,0.6085714274747784
without_pca,2,10,1,264,67,5.506910946636382,64.208753666191,8.013036482270063,0.6085714274747784
without_pca,2,20,1,264,67,5.312515773039905,59.89380666658866,7.739108906494899,0.6348761514904022
without_pca,3,1,1,264,67,5.398395203469829,76.22040825473638,8.730430015453786,0.5353461343363443
without_pca,3,5,1,264,67,5.034978093616798,54.30607061527591,7.369265269704702,0.6689400356390325
without_pca,3,10,1,264,67,4.836804128278653,50.114053715313304,7.079128033544336,0.6944953547733139
without_pca,3,20,1,264,67,4.684484134839257,47.155564597669425,6.866990942011604,0.7125308578165774
without_pca,4,1,1,264,67,5.433859937600135,70.89997546572128,8.420212317140304,0.5677804877992294
without_pca,4,5,1,264,67,5.300604297035451,63.04809038609569,7.940282764870259,0.615647047931018
without_pca,4,10,1,264,67,5.302624840857827,59.48565670967667,7.712694516812958,0.6373643099717343
without_pca,4,20,1,264,67,5.2873095642114585,53.688448553834,7.327240173068848,0.6727051752511037
without_pca,5,1,1,264,67,5.455432034746311,72.86772645596969,8.536259511985897,0.555784709697036
without_pca,5,5,1,264,67,5.590865177275994,75.21588678934178,8.67270931078298,0.5414698850840152
without_pca,5,10,1,264,67,5.5681366385699125,64.4469451569919,8.02788547233902,0.6071193675934021
without_pca,5,20,1,264,67,5.254790041619044,53.51216311424916,7.315200825284919,0.6737798442648086
without_pca,none,1,1,264,67,6.588059701492537,95.52977611940298,9.773933502914934,0.417632616037505
without_pca,none,5,1,264,67,6.220968964700309,75.64155131198693,8.697215146929903,0.5388749545338937
without_pca,none,10,1,264,67,5.654645805293188,64.53325955492718,8.033259584684611,0.6065931788785763
without_pca,none,20,1,264,67,5.254790041619044,53.51216311424916,7.315200825284919,0.6737798442648086
with_pca,2,1,1,264,67,6.4368127277452185,67.84424237142844,8.236761643475452,0.586408808313523
with_pca,2,5,1,264,67,6.4368127277452185,67.84424237142844,8.236761643475452,0.586408808313523
with_pca,2,10,1,264,67,6.4368127277452185,67.84424237142844,8.236761643475452,0.586408808313523
with_pca,2,20,1,264,67,6.47999219395474,68.14169181584228,8.254798108726964,0.5845955008627877
with_pca,3,1,1,264,67,5.650338524097777,60.74390415062101,7.793837575329692,0.62969379821795
with_pca,3,5,1,264,67,5.650338524097777,60.74390415062101,7.793837575329692,0.62969379821795
with_pca,3,10,1,264,67,5.649229782093514,60.473776178238026,7.776488679232937,0.6313405488647341
with_pca,3,20,1,264,67,6.2878744416906205,69.92568551902848,8.362157946309582,0.5737199415541221
with_pca,4,1,1,264,67,5.666104627239741,66.32837897468897,8.144223656966266,0.595649795120613
with_pca,4,5,1,264,67,5.885058074290202,67.37424605920128,8.208181653642985,0.5892739937451483
with_pca,4,10,1,264,67,5.6105881967869635,63.11865691353974,7.94472509993516,0.6152168611803284
with_pca,4,20,1,264,67,6.673462195956233,77.07332386392285,8.779141408128863,0.5301466012458254
with_pca,5,1,1,264,67,6.594406054144861,140.18181438172195,11.839840133283976,0.14542543867620183
