pipeline,k,fold,train_rows,validation_rows,mae,mse,rmse,r2
without_pca,3,1,264,67,5.528855721393034,55.30001658374792,7.436398092070375,0.6628807550987368
without_pca,5,1,264,67,5.449552238805969,51.54825074626865,7.179711048939828,0.685752221407647
without_pca,7,1,264,67,5.709381663113005,56.66610112701797,7.527688963222243,0.6545528481983647
without_pca,9,1,264,67,5.385406301824212,50.316215220195325,7.093392363333311,0.693262940425468
without_pca,11,1,264,67,5.0789687924016285,46.21032194399902,6.7978174397374795,0.7182932338399417
without_pca,15,1,264,67,4.8971144278606955,46.62520199004975,6.828264932620128,0.7157640474763642
without_pca,20,1,264,67,5.089925373134329,50.444305597014925,7.102415476231655,0.6924820775292129
without_pca,25,1,264,67,5.3136716417910455,51.646286805970156,7.186535104344107,0.6851545752501704
without_pca,30,1,264,67,5.408805970149253,52.2137215588723,7.225906279413835,0.6816953868584381
without_pca,35,1,264,67,5.606098081023455,53.92104940603105,7.343095355912999,0.6712871969483791
without_pca,40,1,264,67,5.713395522388059,55.782312220149244,7.468755734401095,0.6599405906863707
with_pca,3,1,264,67,6.372636815920398,79.54810945273631,8.918974686180935,0.5150598453905203
with_pca,5,1,264,67,5.716119402985075,62.903086567164166,7.93114661112529,0.616531018334028
with_pca,7,1,264,67,5.9311300639658855,65.14508985683825,8.071250823561256,0.6028633469159473
with_pca,9,1,264,67,5.444112769485904,57.63907868067073,7.592040482022651,0.6486213950369257
with_pca,11,1,264,67,5.332157394843961,55.46543234242014,7.4475118222410455,0.6618723496930368
with_pca,15,1,264,67,4.9074626865671656,48.56313233830846,6.968725302256393,0.703950061585658
with_pca,20,1,264,67,4.762014925373135,45.90052126865671,6.774992344545986,0.7201818367047008
with_pca,25,1,264,67,5.105910447761194,51.296096000000006,7.16212929232641,0.6872894039061661
with_pca,30,1,264,67,5.051393034825871,50.17148872305143,7.083183516121225,0.6941452202229879
with_pca,35,1,264,67,5.316844349680171,52.47164983247032,7.2437317614935415,0.6801230078573872
with_pca,40,1,264,67,5.501305970149255,55.00793535447761,7.416733469289402,0.6646613369058384
without_pca,3,2,265,66,7.216666666666667,178.52722222222224,13.36140794311072,0.39375821922035503
without_pca,5,2,265,66,7.1793939393939405,170.7334424242424,13.066500771983385,0.42022429472927847
without_pca,7,2,265,66,7.183766233766235,168.4584384662956,12.97915399655523,0.4279497409305847
without_pca,9,2,265,66,7.227441077441077,167.47958286569397,12.941390298793015,0.4312737335130503
without_pca,11,2,265,66,7.174931129476583,167.16642123716503,12.929285410925269,0.4323371660864588
without_pca,15,2,265,66,7.345151515151515,167.11603703703702,12.927336811464185,0.43250826048219604
without_pca,20,2,265,66,7.577954545454546,174.93694204545454,13.226372973928058,0.40595007332959665
without_pca,25,2,265,66,7.585939393939393,174.5925115151515,13.21334596213811,0.4071196886714289
without_pca,30,2,265,66,7.76090909090909,179.31904006734,13.391005939336297,0.3910693684417338
without_pca,35,2,265,66,7.943939393939393,179.60554075448357,13.401699174152641,0.39009647094965105
without_pca,40,2,265,66,8.028825757575756,182.38495160984849,13.504997282852317,0.38065816251970586
with_pca,3,2,265,66,7.944949494949493,207.88574074074077,14.418243330612116,0.29406271997842814
with_pca,5,2,265,66,7.744848484848484,186.466303030303,13.655266494298198,0.36679873132302254
with_pca,7,2,265,66,7.7417748917748925,177.8720253555968,13.336867149206999,0.39598313321520684
with_pca,9,2,265,66,8.073905723905725,183.73686681631125,13.554957278291631,0.3760673361346468
with_pca,11,2,265,66,8.004958677685948,187.39494866015528,13.689227467616837,0.3636452414891074
with_pca,15,2,265,66,7.813131313131312,182.694632996633,13.51645785687334,0.37960654813249006
with_pca,20,2,265,66,7.671136363636363,179.37776401515154,13.39319842364592,0.39086995397567914
with_pca,25,2,265,66,7.624424242424242,184.22426496969692,13.572923965369323,0.3744122321074893
with_pca,30,2,265,66,7.709494949494949,179.05191717171715,13.381028255396412,0.39197646293361943
with_pca,35,2,265,66,7.856233766233765,181.1924508348794,13.460774525816833,0.384707650235918
with_pca,40,2,265,66,7.981931818181817,185.19387698863636,13.608595702299203,0.37111962882990346
without_pca,3,3,265,66,6.887373737373737,113.05173400673401,10.632578897272948,0.2487750046296876
without_pca,5,3,265,66,6.671515151515152,87.63384242424242,9.361294911722545,0.4176760449732436
without_pca,7,3,265,66,6.445887445887445,80.06410018552874,8.947854501808171,0.4679767292413276
without_pca,9,3,265,66,6.505218855218854,82.08269547325102,9.059950081167722,0.4545632309965031
without_pca,11,3,265,66,6.513636363636364,77.64235286751816,8.811489821109603,0.4840691592579447
without_pca,15,3,265,66,6.235959595959596,72.7038882154882,8.526657505464154,0.5168850918745701
without_pca,20,3,265,66,6.282575757575757,73.49664848484848,8.573018633179824,0.5116172263711143
without_pca,25,3,265,66,6.4126666666666665,75.25111975757575,8.674740327962317,0.4999588233814407
without_pca,30,3,265,66,6.483232323232322,78.1062047138047,8.837771478930913,0.48098687923684946
without_pca,35,3,265,66,6.467575757575759,78.0154143475572,8.832633488804865,0.48159017818722116
without_pca,40,3,265,66,6.425492424242424,75.91591846590909,8.712974145830406,0.495541258175761
with_pca,3,3,265,66,7.948484848484847,117.58542087542087,10.843681149656737,0.21864880685958654
with_pca,5,3,265,66,7.4430303030303016,92.01185454545454,9.592280987619917,0.38858430069895555
with_pca,7,3,265,66,6.598917748917748,82.1115677179963,9.061543340844114,0.45437137589480414
with_pca,9,3,265,66,6.375252525252526,82.9071286943509,9.10533517748528,0.44908489978694377
with_pca,11,3,265,66,6.24297520661157,74.87872777360381,8.65324954994387,0.5024333556731666
with_pca,15,3,265,66,6.480202020202021,79.69378585858585,8.92713760723928,0.47043745557151084
with_pca,20,3,265,66,6.423030303030303,77.71970681818183,8.815878108174013,0.48355514484021156
with_pca,25,3,265,66,6.367454545454545,73.88471442424242,8.595621817195218,0.5090385411692826
with_pca,30,3,265,66,6.416464646464646,75.56776632996633,8.692972237961325,0.49785471748719623
with_pca,35,3,265,66,6.38077922077922,73.39460012368583,8.567064848808245,0.5122953343215628
with_pca,40,3,265,66,6.415568181818183,73.24572244318182,8.558371483125853,0.5132846215344481
without_pca,3,4,265,66,5.608585858585859,53.47739057239058,7.312823707186615,0.6162937285759308
without_pca,5,4,265,66,5.702121212121213,52.615266666666685,7.253638167614007,0.6224795642315257
without_pca,7,4,265,66,5.624025974025974,49.50394248608535,7.035903814442417,0.6448036639631003
without_pca,9,4,265,66,5.8478114478114485,52.98203516647963,7.278875954876525,0.6198479591357513
without_pca,11,4,265,66,5.420798898071625,46.076374906085654,6.787958080754893,0.6693968455319614
without_pca,15,4,265,66,5.253939393939395,43.25378585858588,6.576761046182678,0.6896492383205077
without_pca,20,4,265,66,5.147348484848483,40.36742992424241,6.353536804350976,0.7103591656695332
without_pca,25,4,265,66,5.243636363636364,42.850378181818186,6.546020026078303,0.6925437336176715
