pipeline,fold,train_rows,validation_rows,mae,mse,rmse,r2
with_pca,1,264,67,6.145770909171133,60.65421820445713,7.788081805198064,0.6302405405214218
without_pca,1,264,67,6.055559584033765,60.509892813149385,7.7788105011723605,0.6311203751027381
with_pca,2,265,66,8.327779977269925,186.74035505102614,13.665297473931043,0.36586810694539873
without_pca,2,265,66,8.048635765572245,181.17771013463786,13.460226971884161,0.384757706626496
with_pca,3,265,66,6.907132828478852,82.75454533011,9.096952529837122,0.45009881114445227
without_pca,3,265,66,6.353612416694081,78.32625355850932,8.850212062911789,0.47952466201570876
with_pca,4,265,66,6.117852489910289,56.50733907331606,7.517136361229325,0.594553508466962
without_pca,4,265,66,5.84635575324654,50.47377613435738,7.104489857432227,0.6378449988319675
with_pca,5,265,66,6.59349591853369,71.07169195310139,8.430402834568547,0.599118085803849
without_pca,5,265,66,6.4224815420896375,69.88858927406133,8.359939549665496,0.6057914103530542
